0.48866	0.15463
0.46126	0.14237
0.44083	0.13797
0.4214	0.14306
0.4062	0.13721
0.38777	0.13749
0.37706	0.12716
0.35563	0.12303
0.34143	0.11959
0.33097	0.10706
0.31752	0.10314
0.3078	0.10314
0.29909	0.10389
0.29012	0.09921
0.28215	0.09529
0.27592	0.08723
0.26795	0.08696
0.26521	0.08303
0.25549	0.07354
0.24403	0.06982
0.23332	0.05756
0.21115	0.05192
0.20044	0.04483
0.17827	0.03698
0.15261	0.02941
0.11723	0.01743
0.08884	0.01275
0.06841	0.01248
0.03204	0.01103
0.01958	0.01082
