0.04449	0.01323
0.0577	0.01523
0.07987	0.01351
0.03553	0.01248
0.02756	0.01248
0.09407	0.01791
0.09681	0.01619
0.12247	0.01963
0.10926	0.02425
0.13667	0.02136
0.0719	0.01275
0.0151	0.01323
0.05421	0.01227
0.13143	0.03134
0.14289	0.02893
0.15435	0.02969
0.1703	0.03361
0.19346	0.03822
0.15709	0.04703
0.17129	0.05123
0.18898	0.06176
0.20143	0.05392
0.21563	0.0566
0.23158	0.05977
0.26172	0.05784
0.27766	0.0566
0.24229	0.06052
0.22012	0.0745
0.24403	0.0608
0.27691	0.07326
0.31403	0.0745
0.32923	0.0745
0.252	0.08359
0.30606	0.10121
0.36286	0.08944
0.35489	0.09336
0.34941	0.09481
0.36983	0.10265
0.36909	0.10733
0.36012	0.10314
0.34143	0.11883
0.35837	0.12351
0.46126	0.2024
0.43012	0.20825
0.5198	0.22491
0.58183	0.22787
0.75396	0.24088
